地點,地區,縣市,地址,緯度,經度,文字敘述,星級,評論數量,AI評論,評論連結,預覽圖路徑,事故發生次數
豆腐岬公園,北部地區,宜蘭縣,270宜蘭縣蘇澳鎮,24.5838643,121.8714373,宜蘭豆腐岬是一個位於東北角海岸線上的海蝕地形，以其奇特的地質景觀和豆腐般的形狀而聞名。這個潛水點的海域水質清澈，可在此海域中探索珊瑚礁、岩石地形、海藻床和各種海洋生物。且這個區域的水域相對平靜，使得潛水者可以享受到相對輕鬆和安全的潛水經驗。,4.2,5500,1.美麗的環境。\n2.合理的價格。\n3.假日非常多人在這裡從事水上活動。,https://www.google.com/search?q=%E5%AE%9C%E8%98%AD%E8%B1%86%E8%85%90%E5%B2%AC&ei=89XRZMjWFJPo-AbClLiIAQ&gs_ssp=eJzj4tFP1zfMM04pN6gssDRgtFI1qDA2MTNPtTA2TbRMMzcxTjK1AgqlpCQaJaVYGKcmm6WYGqZ58T9dN-fFjLUvNra9aJ3wdNMaAOgzGgQ&oq=%E5%AE%9C%E8%98%AD%E8%B1%86%E8%85%90%E5%B3%BD&gs_lp=Egxnd3Mtd2l6LXNlcnAiD-WunOiYreixhuiFkOWzvSoCCAAyDRAuGK8BGMcBGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyDRAuGIAEGMcBGK8BGAoyHBAuGK8BGMcBGIAEGAoYlwUY3AQY3gQY4ATYAQFI8x5QAFiwCnAAeAGQAQCYAXKgAaQEqgEDMC41uAEByAEA-AEBwgIFEAAYogTCAhwQLhiABBjHARivARgKGJcFGNwEGN4EGOAE2AEB4gMEGAAgQYgGAboGBggBEAEYFA&sclient=gws-wiz-serp#lrd=0x3467e835a9f743b5:0x3dda2bd83ec6d51f，1，，，，,img/map_img/55.jpg,1
粉鳥林,北部地區,宜蘭縣,270宜蘭縣蘇澳鎮,24.49727166,121.8431698,蘇澳鎮粉鳥林位於宜蘭縣東北部，獨特隱蔽的地理位置。粉鳥林這個潛水點以其壯觀的海底溝壑、珊瑚礁和多樣化的海洋生物而聞名，潛水者可以穿梭於狹窄的海底溝壑中，探索岩石間的縫隙和海洞。,null,null,1.粉鳥林時常也會有人來潛水或是獨木舟。\n2.會潛水、浮潛、不怕水、想玩獨木舟的朋友們，可以來看看這的海底世界有什麼不一樣的東西，但還是要請大家，安全第一！\n3.因為早期這裡有許多野生鴿子棲息，臺語的鴿子唸做「粉鳥」，「粉鳥林」便因此而得名。,https://keketravel.cc/amp/85/,img/map_img/56.jpg,3
石梯坪,東部地區,花蓮縣,977花蓮縣豐濱鄉臺11線,23.48869398,121.5137846,石梯坪有長年經風力和海水雕刻而成的特殊沿岸風景，且潮間帶生態資源豐富有螃蟹、海星、海參、寄居蟹，不僅如此海底也蘊藏豐富的珊瑚礁群和熱帶魚群，是潛水愛好者的天堂,4.4,4183,1.海景超美。\n2.景點療愈。\n3.放慢腳步走向海邊。,https://www.google.com/search?q=%E7%9F%B3%E6%A2%AF%E5%9D%AA%E9%81%8A%E6%86%A9%E9%A2%A8%E6%99%AF%E5%8D%80&ei=EdfRZJzAJY2H-Qb_kIJI&ved=0ahUKEwjcjMK_rsyAAxWNQ94KHX-IAAkQ4dUDCBA&uact=5&oq=%E7%9F%B3%E6%A2%AF%E5%9D%AA%E9%81%8A%E6%86%A9%E9%A2%A8%E6%99%AF%E5%8D%80&gs_lp=Egxnd3Mtd2l6LXNlcnAiGOefs-air-WdqumBiuaGqemiqOaZr-WNgDILEC4YrwEYxwEYgAQyBRAAGIAEMgYQABgeGA8yBhAAGB4YDzIaEC4YrwEYxwEYgAQYlwUY3AQY3gQY4ATYAQFIlAhQhARYhARwAXgBkAEAmAFtoAFtqgEDMC4xuAEDyAEA-AEB-AECqAIA4gMEGAAgQYgGAboGBggBEAEYFA&sclient=gws-wiz-serp#lrd=0x346f505b19a23f2b:0xbf6923cdc9ee1c12，1，，，，,img/map_img/57.jpg,2
杉原灣,東部地區,臺東縣,954臺東縣卑南鄉海水浴場,22.83076987,121.1861319,位於杉原美麗灣一旁的礁岩海域。這片海域的軟、硬珊瑚覆蓋率非常高且種類極其多元甚至贏過蘭嶼和綠島，但近海能見度不高要稍微往外海游去，水質就會逐漸變清澈。,4.7,250,1.衝浪初學者的練習地，適合各年齡層來玩。\n2.乾淨的沙清澈的海。\n3.天氣好的時候，白雲倒影映照在海面上的景致很美。,https://www.google.com/search?q=%E6%9D%89%E5%8E%9F%E7%81%A3%E6%B2%99%E7%81%98&ei=htjRZLuJMs-s-QaFy6DgCA&ved=0ahUKEwi75Lzxr8yAAxVPVt4KHYUlCIwQ4dUDCBA&uact=5&oq=%E6%9D%89%E5%8E%9F%E7%81%A3%E6%B2%99%E7%81%98&gs_lp=Egxnd3Mtd2l6LXNlcnAiD-adieWOn-eBo-aymeeBmDIFEAAYgAQyBRAAGIAESLcDUABYAHAAeAGQAQCYAW-gAW-qAQMwLjG4AQPIAQD4AQL4AQHiAwQYACBBiAYB&sclient=gws-wiz-serp#rlimm=15274888579075462334,img/map_img/58.jpg,1
三仙臺,東部地區,臺東縣,961臺東縣成功鎮,23.12689065,121.4221268,位於臺東縣成功鎮的三仙台，此區域周邊海底生態相當豐富有相當多的魚類及海蛞蝓，最特別的是此處可目擊到國際聞名的「豆丁海馬」和大量的海扇珊瑚，高度超過一公尺，分布在周邊礁岩。,null,null,1.現在三仙臺周邊海底生態相當豐富。\n2.國際聞名的豆丁海馬，這兒目擊率非常高。\n3.海底10公尺礁石上的軟珊瑚覆蓋率幾乎100％。,https://www.setn.com/News.aspx?NewsID=893623,img/map_img/59.jpg,2
中寮漁港,東部地區,臺東縣,951臺東縣綠島鄉,22.67565232,121.472588,位於綠島燈塔附近的著名景點，現今是一個閒置的小港。港內風平浪靜下水容易且水質清澈，加上中寮港的無脊椎動物非常豐富，因此吸引了許多潛水新手來浮淺，欣賞此處的海底風光。,4.5,220,1.生物多且可以一直玩。\n2.水深適合游泳練習。\n3.潮間帶生態體驗不錯。,https://www.google.com/search?q=%E4%B8%AD%E5%AF%AE%E6%BC%81%E6%B8%AF%0D%0A&ei=CNzRZLnvGc6M-Abo14GoAQ&ved=0ahUKEwi5k76ds8yAAxVOBt4KHehrABUQ4dUDCBA&uact=5&oq=%E4%B8%AD%E5%AF%AE%E6%BC%81%E6%B8%AF%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiDeS4reWvrua8gea4rwpIAFAAWABwAHgAkAEAmAEAoAEAqgEAuAEDyAEA-AEC-AEB4gMEGAAgQQ&sclient=gws-wiz-serp#lrd=0x346f8da36ad375bb:0xaebd0d723bebce70，1，，，，,img/map_img/60.jpg,2
黑毛礁,東部地區,臺東縣,951臺東縣綠島鄉,22.68014256,121.4798349,黑毛礁位於綠島的柴口保育區，其特色為由上而下排列的巨型團塊微孔形成的礁石，且魚種相當豐富，有機會目擊到海龜、海蛇、章魚、海蛞蝓、豆丁海馬等，是一個絕佳的潛水地點。,null,null,1.黑毛礁位於綠島的柴口保育區，特色是由巨型的團塊微孔形成層層相疊的礁石。\n2.此處礁頂約7米，礁底約14米，同時適合新手與老手。\n3.應注意:上下岸的腳步安全、綁下潛繩時應挑選非敏感的礁石。,https://www.happyminimi.com/2661221475406572761130977.html,img/map_img/61.jpg,null
柴口,東部地區,臺東縣,95142臺東縣綠島鄉柴口61號,22.6766976,121.4829034,柴口浮潛區是綠島三大潛水區中最北端的一處潛點。以壯觀的石珊瑚著名，海水變化具有層次感且潮間帶生物豐富，且因其地理位置為避風面，是每年6-8月西南風吹臨綠島時的最佳潛點。,4.6,955,1.海底視野很好，清澈透明。\n2.海洋生態豐富，魚群多樣。\n3.有著名的尖翅燕魚郵筒，適合拍照。,https://www.google.com/search?q=%E6%9F%B4%E5%8F%A3%0D%0A&ei=jN3RZLDqOqiB2roPna-m6Ac&ved=0ahUKEwiw4ODWtMyAAxWogFYBHZ2XCX0Q4dUDCBA&uact=5&oq=%E6%9F%B4%E5%8F%A3%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiB-aftOWPowpI3gZQlwNYlwNwAXgAkAEAmAEAoAEAqgEAuAEDyAEA-AEB-AECqAIA4gMEGAAgQYgGAQ&sclient=gws-wiz-serp#lrd=0x346f8db0fff41a1f:0x30880968a257b4cf，1，，，，,img/map_img/62.jpg,5
公館鼻,東部地區,臺東縣,951臺東縣綠島鄉,22.676215,121.493002,因其地形的高低落差形成奇特的海底景觀，可觀察到許多成群的小魚、海扇、海百合、棘穗軟珊瑚、海鞭等，而此處還有著名的海蝕溝和洞穴，可讓潛水者在此海域探險。,4.6,55,1.綠島石山是臺灣重要的史前遺址。\n2.山頂可欣賞綠島燈塔、石牛山和綠島監獄。\n3.夕陽景色迷人，放空心情，欣賞大自然的美景。,https://www.google.com/search?q=%E5%85%AC%E9%A4%A8%E9%BC%BB%0D%0A&ei=nN3RZNuAN7-12roPi-algA8&ved=0ahUKEwjbvq3etMyAAxW_mlYBHQtzCfAQ4dUDCBA&uact=5&oq=%E5%85%AC%E9%A4%A8%E9%BC%BB%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiCuWFrOmkqOm8uwpI3w1QxgZYxgZwAngBkAEAmAEAoAEAqgEAuAEDyAEA-AEB-AECqAIA4gMEGAAgQYgGAQ&sclient=gws-wiz-serp#lrd=0x346f8c4b4b24d6b7:0x6f97faac4147d180，1，，，，,img/map_img/63.jpg,null
將軍岩,東部地區,臺東縣,123臺東縣綠島鄉951東邊海岸,22.6766718,121.4957395,位於公館港旁的將軍岩，有著名的「小丑漁村」坐落於此，且在此處可觀賞到許多獨特的海蛞蝓以及綠島著名的紙片海馬，運氣好時還能看到海龜的身影，喜歡拍照的潛水者絕對不可錯過此潛點。,4.5,222,1.綠島東北部海岸的安山岩巨石群形成堅毅嚴峻的將軍景觀。\n2.蔚藍的海洋和綠茵盎然的綠地營造出秀麗的風景。\n3.觀賞日出時，身心得到舒放，讓人讚嘆鬼斧神工的大自然藝術。,https://www.google.com/search?q=%E5%B0%87%E8%BB%8D%E5%B2%A9%0D%0A&ei=-93RZO-RBcqu2roP0M6i-AY&ved=0ahUKEwiv-6GLtcyAAxVKl1YBHVCnCG8Q4dUDCBA&uact=5&oq=%E5%B0%87%E8%BB%8D%E5%B2%A9%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiCuWwh-i7jeWyqQpIAFAAWABwAHgBkAEAmAEAoAEAqgEAuAEDyAEA-AEC-AEB4gMEGAAgQQ&sclient=gws-wiz-serp#lrd=0x346f8c5400000001:0x94a5c4fe26a2421b，1，，，，,img/map_img/64.jpg,1
豆丁礁,東部地區,臺東縣,951臺東縣綠島鄉,22.67834348,121.4932005,無,4.6,147,1.假日非常熱鬧，但非假日去不容易排隊。\n2.海底世界真的很漂亮，潛水是一個人生中解鎖的第一次體驗。\n3.綠島的海馬郵筒是一個必去的打卡景點，令人留連忘返。,https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E8%B1%86%E4%B8%81%E7%A4%81&ei=ceDRZMnQBPHN1e8P3MGyqAQ&ved=0ahUKEwiJzdW3t8yAAxXxZvUHHdygDEUQ4dUDCBA&uact=5&oq=%E7%B6%A0%E5%B3%B6%E8%B1%86%E4%B8%81%E7%A4%81&gs_lp=Egxnd3Mtd2l6LXNlcnAiD-e2oOWztuixhuS4geekgTIFEAAYogQyBRAAGKIEMgUQABiiBDIFEAAYogRI2hRQAFjLD3AAeAGQAQCYAXugAZgFqgEDNS4yuAEDyAEA-AEB4gMEGAAgQYgGAQ&sclient=gws-wiz-serp#lrd=0x346e03b53cb63147:0x3ac9e1cfad7a458d，1，，，，,img/map_img/65.jpg,null
一線天,東部地區,臺東縣,951臺東縣綠島鄉,22.68109827,121.4931103,一線天位於公館港外海處，礁石東南側附近有條裂縫，從此裂縫望向海平面就是著名「一線天景觀」。而此海域深度較深，不同深度有不同的生態景象，因此可以看到許多不同的生物。,null,null,1.一線天位於公館外海，與大峽谷相鄰而居。兩者皆屬強流切割出的地形，銳利且壯觀，難度也相對較高。\n2.四周為峭壁，海扇層次分明，珊瑚覆蓋率高，大批的魚群、小型生物分布於此。\n3.此區為常態性的流強水大。下次來潛水時，記得要先請教當地經驗豐富的船家及教練評估海況。,https://www.facebook.com/tdc79838170/posts/2554420471236349/?locale=zh_CN,img/map_img/66.jpg,3
大峽谷,東部地區,臺東縣,951臺東縣綠島鄉,22.68827349,121.4904579,位在公館外海擁有天然的山形景觀，兩側垂直峭壁形成峽谷樣貌。當潛水者穿過峽谷後可看到許多大海扇、成群的金花鱸魚、擬羊魚群等，而此處更有機會遇到大型魚類。,null,null,1.最大深度32.6m、平均深度18.1m。\n2.此潛點地形有如切割狀的斷層，兩側垂直峭壁形成峽谷景觀，氣勢壯闊，穿過峽谷可見生長完整的大海扇。\n3.密密麻麻的金花鱸魚、擬羊魚群、烏尾冬悠遊在此，往峭壁另一端的深藍海望去，偶爾還能遇見大型魚類上演餵食秀。,https://www.mingdiving.com/blog/diving103,img/map_img/67.jpg,1
三塊石,東部地區,臺東縣,951臺東縣綠島鄉環島公路,22.63969412,121.4907967,位於樓門岩東北方的一座外礁，是所有外礁潛點中距離綠島最遠的一點，礁石頂端有三塊岩石由南至北露出水面，入水後水深呈階梯狀從24米、30米、50米往下墜至65米，尤其在礁石南北側峭壁，並未有任何緩衝礁坪，可從凸出水面的石塊直接下切到60米以下的深度，海流為由南向北流動的黑潮主流，特色生物大部分為刺尾鯛科與烏尾?科的魚種，另有鯖魚科的魚種也會在此洄游。,3,5,1.深潛景點之一。\n2.好多海底生物。\n3.海邊很藍很漂亮。,https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E4%B8%89%E5%A1%8A%E7%9F%B3%0D%0A&ei=IOHRZJL2F5_d1e8Pxp6h6Ao&ved=0ahUKEwiShqKLuMyAAxWfbvUHHUZPCK0Q4dUDCBA&uact=5&oq=%E7%B6%A0%E5%B3%B6%E4%B8%89%E5%A1%8A%E7%9F%B3%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiEOe2oOWztuS4ieWhiuefswpIAFAAWABwAHgBkAEAmAEAoAEAqgEAuAEDyAEA-AEC-AEB4gMEGAAgQQ&sclient=gws-wiz-serp#lrd=0x346f8d200cd4e955:0xae0a42096a6d786e，1，，，，,img/map_img/68.jpg,null
仙人疊石,東部地區,臺東縣,951臺東縣綠島鄉,22.6589914,121.5072898,因形狀似金字塔且一層層依序疊上去而被稱為「仙人疊石」，是小長城和睡美人中間突出的尖石。想到達此處須爬三十分鐘的山路，要從事跳水或潛水活動者建議熟人帶較安全。,4.8,9,1.綠島秘境景色壯麗，有特有的柱狀節理景觀，形狀像金字塔。\n2.秘境附近有海蝕洞和小丑魚的家，可以跳水和觀察海洋生物。\n3.前往綠島秘境需要走一段難度較高的山路，但是美景值得一切努力。,https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E4%BB%99%E4%BA%BA%E7%96%8A%E7%9F%B3%0D%0A&ei=XeHRZLbOBv_m1e8PiPWJaA&ved=0ahUKEwj28JuouMyAAxV_c_UHHYh6Ag0Q4dUDCBA&uact=5&oq=%E7%B6%A0%E5%B3%B6%E4%BB%99%E4%BA%BA%E7%96%8A%E7%9F%B3%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiE-e2oOWztuS7meS6uueWiuefswoyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsANImglQsgRYsgRwAXgBkAEAmAEAoAEAqgEAuAEDyAEA-AEC-AEB4gMEGAAgQYgGAZAGCg&sclient=gws-wiz-serp#lrd=0x346f8d3f8439dbd1:0xa385a71b201f2260，1，，，，,img/map_img/70.jpg,null
柚子湖,東部地區,臺東縣,951臺東縣綠島鄉,22.66563416,121.5100447,柚子湖藍洞是一個天然的海蝕洞，有著清澈迷人的湛藍色海水，在這裡可以看到美麗的珊瑚礁和壯麗的海底景色，如果剛好能遇到陽光灑落的時機點，甚至能看到光線在海底形成的奇幻畫面！這裡不僅有絕美的海洋，還有隱藏在山壁上的神秘瀑布，讓潛客在瀑布下戲水的同時感受大自然的魅力～,4.5,695,1.入口風景超美。\n2.適合拍照和拍攝。\n3.附近的海灘可以進入。,https://www.google.com/search?q=%E6%9F%9A%E5%AD%90%E6%B9%96&ei=d-LRZNfgH4-2oATHsYPYCQ&ved=0ahUKEwiX-PCuucyAAxUPG4gKHcfYAJsQ4dUDCBA&uact=5&oq=%E6%9F%9A%E5%AD%90%E6%B9%96&gs_lp=Egxnd3Mtd2l6LXNlcnAiCeafmuWtkOa5ljINEC4YrwEYxwEYigUYQzIFEAAYgAQyBRAAGIAEMgUQABiABDILEC4YgAQYxwEYrwEyBRAAGIAEMgUQABiABDIFEAAYgAQyBxAAGIoFGEMyCRAAGAcYHhjxBDIcEC4YrwEYxwEYigUYQxiXBRjcBBjeBBjgBNgBAUjJAVAAWABwAHgBkAEAmAFfoAFfqgEBMbgBA8gBAPgBAeIDBBgAIEGIBgG6BgYIARABGBQ&sclient=gws-wiz-serp#lrd=0x346f8c5c78eaa095:0x7e9c6d393dd7aff5，1，，，，,img/map_img/71.jpg,1
仙掌森林,東部地區,臺東縣,951臺東縣綠島鄉,22.66776488,121.5115434,無,null,null,無,無,img/map_img/72.jpg,null
大白沙,東部地區,臺東縣,951臺東縣綠島鄉,22.63848472,121.4906913,是綠島三大潛水區之一，以珊瑚及貝殼碎屑堆積成的白色沙灘聞名。這裡也是潛水愛好者的天堂，雖然此處海流較強但卻擁有世界級的軟珊瑚景觀，潛水者可以在此看到一整片炫麗的珊瑚海。,4.8,136,1.透明的海水和白色沙灘很適合浮潛和拍照。\n2.旅程讓人感到無比放鬆自由自在。\n3.大片的白色沙灘讓人有很多拍照的機會。,https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E5%A4%A7%E7%99%BD%E6%B2%99%0D%0A&ei=iePRZOedEp7i1e8PpJGCiA8&ved=0ahUKEwinhrexusyAAxUecfUHHaSIAPEQ4dUDCBA&uact=5&oq=%E7%B6%A0%E5%B3%B6%E5%A4%A7%E7%99%BD%E6%B2%99%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiEOe2oOWztuWkp-eZveaymQoyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsAMyChAAGEcY1gQYsANIwAhQ0QJY0QJwAXgBkAEAmAEAoAEAqgEAuAEDyAEA-AEC-AEB4gMEGAAgQYgGAZAGCg&sclient=gws-wiz-serp#lrd=0x346f8d208870e7c9:0x7862f3990e9ee999，1，，，，,img/map_img/73.jpg,4
獨立礁,東部地區,臺東縣,951臺東縣綠島鄉,22.63856394,121.4921719,獨立礁位於大白沙步道外海的突出礁石，此區域有四座獨立礁石。礁石上佈滿許多海扇和亮麗的珊瑚，在較淺的礁石區還可觀看到海葵和油彩辣模蝦。,null,null,1.位於大白沙步道外海的突出礁石，此處共有四座獨立礁石，深度從18米~31米，依序越來越深，屬於強流區。\n2.隨處可見大片的軟珊瑚海，形成壯觀的美景，請潛水客們保持良好的中性浮力，避免碰觸到。\n3.建議方式-船潛。,https://www.happydive.tw/divesite.html,img/map_img/74.jpg,null
教堂,東部地區,臺東縣,951臺東縣綠島鄉,22.63933631,121.4921719,位於馬蹄僑外海，是長時間海浪侵蝕黑色火山岩，而形成似教堂尖聳的屋頂的礁石而得名。當陽光灑落在教堂的洞時會猶如聖光的感覺，加上周圍海浪拍打的聲音，真的非常的震撼。,null,null,1.是由黑色的火山岩塊經過長時間的海浪侵蝕而成。\n2.峭壁內、外周圍亦有許多的珊瑚、魚類居住在此處。\n3.峭壁岩石面和珊瑚礁岩互相交疊，因而形成尖頂拱門撞，加上岩石頂部的隙縫，光線直射而下，形成漂亮的耶穌光。,https://www.happydive.tw/divesite.html,img/map_img/75.jpg,null
鋼鐵礁,東部地區,臺東縣,951臺東縣綠島鄉,22.63917788,121.4912706,位於綠島西南面在大白沙與龜灣的海域中間，是漁業署投放的人工魚礁。此處總共有四座鋼鐵礁，也因為鋼鐵礁的關係周邊魚兒數量增加了七、八成，已經有超過百種魚類，海底資源豐富。,null,null,1.鋼鐵礁位於龜灣及大白沙海域中間，馬蹄橋外由鋼鐵打造之人工魚礁。\n2.由四座三層品字型的鋼鐵組成，最靠近水面第一層礁頂約20米，中間第二層約25米，最底下一層大約位在30米的沙床底部。\n3.終年受惠於黑潮經過，因此這個潛點擁有溫暖水溫、豐富生態以及高能見度。,https://www.potatomedia.co/post/dfc137f9-92b7-44b8-9a54-5b9ef2edbb3c,img/map_img/76.jpg,null
馬蹄橋,東部地區,臺東縣,951臺東縣綠島鄉,22.63974708,121.4915663,馬蹄橋位於綠島的西南海岸，近岸區散佈礁石，淺海區域則有洞穴和拱門等。潛水者可以看到許多熱帶魚穿梭在其中，不僅如此還有許多珊瑚礁覆蓋於礁石上。,null,null,1.馬蹄橋下方的海洋地質景觀，主要是以黑火山岩形成的海蝕地形。\n2.珊瑚礁群在長時間的海水侵蝕下，沖蝕出拱門型的峭壁面，當陽光從岩頂上的細縫照射進岩穴中，宛如聖光般的獨特景色。\n3.適合有經驗的進階潛水客。,https://greenislandzine.com/c005/#lwptoc4,img/map_img/77.jpg,null
龜灣鼻,東部地區,臺東縣,951臺東縣綠島鄉,22.64659007,121.472954,龜灣是一處由兩個沿岸流交會的潛點，一道由石朗從北到南的海流，另一道是從烏鬼洞由東向西的海流到達龜灣後，兩道海流匯流到黑潮主流，此處最大的特色在於各式珊瑚完整且數量極多，並且此處經常有海龜出沒。,null,null,1.龜灣是一處由兩個沿岸流交會的潛點，一道由石朗從北到南的海流，另一道是從烏鬼洞由東向西的海流到達龜灣。\n2.水深約15到30米之間。\n3.此處最大的特色在大面積的白蘆莖珊瑚群聚，各式珊瑚完整且數量眾多，海龜在此處經常發現。,http://dive.com.tw/greenisland/d_kueiwan.aspx?site_id=26,img/map_img/78.jpg,null
雞仔礁,東部地區,臺東縣,951臺東縣綠島鄉,22.64296427,121.48178,位於龜灣和馬蹄橋之間的外海，因遠望過去像雞頭的外型而稱為雞仔礁。此區域因海流較強有較多洄游魚類且海扇密集度也高，不時可以看到豆丁海馬在此穿梭，這裡也是潛水客必訪景點。,null,null,1.雞仔礁是由一個超大型的珊瑚礁盤所構成。\n2.因為地形變化太大，海流相當強勁，許多大型洄游性魚類都在此聚集覓食。\n3.在這個潛點潛水必須有周詳的潛水計畫，必須由熟悉地形的潛導帶領才可避免不必要的危險狀況產生。,http://dive.com.tw/greenisland/d_chick.aspx?site_id=7,img/map_img/79.jpg,null
海底郵筒,東部地區,臺東縣,951臺東縣綠島鄉漁港路,22.65517826,121.4731667,海底郵筒位於離海岸約150米、水下6米左右的海底，除了水肺潛水外，也有頭盔潛水的下水方式可以選擇，推薦潛友在杭灣潛水探索海洋世界時，也順便體驗在海中寄出明信片，自我挑戰之餘還可以傳遞心意給家人或好友。,4.6,147,1.假日非常熱鬧，但非假日去不容易排隊。\n2.海底世界真的很漂亮，潛水是一個人生中解鎖的第一次體驗。\n3.綠島的海馬郵筒是一個必去的打卡景點，令人留連忘返。,https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E6%B5%B7%E5%BA%95%E9%83%B5%E7%AD%92%0D%0A&ei=lOXRZOXGNMOM-QbW45mABQ&ved=0ahUKEwjl4IqrvMyAAxVDRt4KHdZxBlAQ4dUDCBA&uact=5&oq=%E7%B6%A0%E5%B3%B6%E6%B5%B7%E5%BA%95%E9%83%B5%E7%AD%92%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiE-e2oOWztua1t-W6lemDteetkgoyCBAAGIAEGLADSOkPULMLWLMLcAJ4AJABAJgBAKABAKoBALgBA8gBAPgBAvgBAeIDBBgBIEGIBgGQBgE&sclient=gws-wiz-serp#lrd=0x346e03b53cb63147:0x3ac9e1cfad7a458d，1，，，，,img/map_img/80.jpg,null
破沉箱,東部地區,臺東縣,951臺東縣綠島鄉,22.65657072,121.4737977,沉箱是水下工程的手法，是混凝土大型立方體，可用於橋墩、大壩等水下作業。在綠島的亞特蘭提斯潛點，沉箱環繞四周，被珊瑚與生物覆蓋，適合自由潛水新手，但水肺潛水員需注意控制深度和呼吸。,null,null,1.這裡的深度大約3-8米，很適合自由潛水新手。\n2.沉箱其實是一種水下工程的手法，是一個混凝土大型立方體，裡面是中空。\n3.這個潛點可以看到破碎的立方體環繞四周。,https://shan2020.pixnet.net/blog/post/37898203,img/map_img/81.jpg,null
大香菇,東部地區,臺東縣,951臺東縣綠島鄉,22.65527516,121.4718768,大香菇其實是團塊微孔珊瑚，已經在綠島屹立超過一千年了！在這個珊瑚群裡居住了許多魚類，有蝴蝶魚、海葵魚、刺尾鯛等，潛水者可以在這裡享受被魚群包圍的感覺。,null,null,1.曾經是全世界最大的微孔珊瑚礁。\n2.在2016的一場颱風-莫蘭蒂，大香菇就這樣倒塌了。\n3.大香菇屬於中級潛點。,https://www.oceaniangreenisland.com/%E5%A4%A7%E9%A6%99%E8%8F%87/,img/map_img/82.jpg,null
海底十字架,東部地區,臺東縣,951臺東縣綠島鄉,22.65604358,121.4723239,十字架在海底約7米深左右，若要到最下面沙地的話，深度大約15米左右，十字架讓人有約定，心心相映的氛圍，是個非常浪漫的潛點，也很適合初學者來玩。,null,null,無,無,img/map_img/83.jpg,null
小丑島,東部地區,臺東縣,951臺東縣綠島鄉,22.65666641,121.4738139,小丑島之所以叫小丑島，是因為此島為世界上小丑魚密度最高的地方。最美的是此區域為沙地，潛水者可以在躺在沙地上欣賞小丑魚的身影，有時還會看到牛港?和蘇眉魚的身影。,null,null,1.下潛15米處，潔白底砂間隔幾座大小佈滿軟珊礁石。\n2.水清完全無流狀態。\n3.像極了在一個超大型水族箱裏。,https://shie6262.pixnet.net/blog/post/231356569-%E5%8F%B0%E7%81%A3%E4%B8%96%E7%95%8C%E7%B4%9A%E7%9A%84%E6%BD%9B%E9%BB%9E~%E7%B6%A0%E5%B3%B6,img/map_img/84.jpg,null
後花園,東部地區,臺東縣,951臺東縣綠島鄉,22.65455526,121.4722625,無,null,null,無,無,img/map_img/85.jpg,null
六米礁,東部地區,臺東縣,951臺東縣綠島鄉,22.65353086,121.4720975,因礁體頂端距離水面六米而得此名「六米礁」，平台上有多種魚類，像是雀鯛、金花鱸、鰈魚等，有時運氣好甚至能預見大型洄游生物，鯨鯊也曾在此出現過。,null,null,1.平臺上滿滿都是金花鱸與各種隆頭魚。\n2.要注意六米礁的沿岸流相當強勁，最好選擇船潛的方式比較妥當。\n3.流強水深，一定要請潛導作潛水計畫與報告。,http://dive.com.tw/greenisland/d_sixmeter.aspx?site_id=5,img/map_img/86.jpg,null
斜坡花園,東部地區,臺東縣,951臺東縣綠島鄉,22.65390263,121.4719053,無,null,null,無,無,img/map_img/87.jpg,null
