店家名,店家名(英),地區,縣市,地址,緯度,經度,營業時間(起),營業時間(迄),入住時間(起),入住時間(迄),退房時間(起),退房時間(迄),交通建議,周遭潛點,連結,星級,評論數量,AI評論,評論連結,預覽圖路徑
解憂潛水Chill Diving,Chill Diving,南部地區,高雄市,807高雄市三民區大順二路680巷23號,22.65362942,120.320301,10:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>16A>步行>解憂潛水Chill Diving,墾丁、小琉球、綠島,https://chilldiving.com/,5,24,1.教練專業且有耐心\n2.教學淺顯易懂\n3.活動輕鬆自在,"https://www.google.com/search?q=%E8%A7%A3%E6%86%82%E6%BD%9B%E6%B0%B4Chill+Diving&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E8%A7%A3%E6%86%82%E6%BD%9B%E6%B0%B4Chill+Diving&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTINCAEQLhivARjHARiABNIBBzE2MWowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346e050b4f2d5249:0x73c4ac3005a61d30,1,,,,",img/store_img/149.jpg
高雄 Blue Marine 潛水,Blue Marine,南部地區,高雄市,807高雄市三民區清明街27號,22.64743383,120.3388769,20:00,23:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>捷運紅線>步行>紅33民誠幹線>步行>高雄 Blue Marine 潛水,墾丁、小琉球、綠島,https://www.facebook.com/people/%E9%AB%98%E9%9B%84-Blue-Marine-%E6%BD%9B%E6%B0%B4%E8%87%AA%E7%94%B1%E6%BD%9B%E6%B0%B4sup%E6%BA%AF%E6%BA%AA/100064277491792/,5,8,1.教練非常親切，會提供實用的意見來選擇裝備\n2.老闆不藏私的分享潛點\n3.老闆親民阿莎力,"https://www.google.com/search?q=%E9%AB%98%E9%9B%84+Blue+Marine+%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E9%AB%98%E9%9B%84+Blue+Marine+%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigAdIBBzE1MmowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346e0531389b4157:0xb97ec04c81827e7a,1,,,,",img/store_img/150.jpg
貝里斯潛水,null,南部地區,高雄市,807高雄市三民區清華街1巷11號,22.64029808,120.342318,null,null,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>捷運紅線>步行>60覺民幹線>步行>貝里斯潛水,墾丁、小琉球、綠島,https://zh-tw.facebook.com/barrysdiving2016/,null,null,無,無,img/store_img/151.jpg
AGA 技術潛水中心,AGA SCUBA DIVING,南部地區,高雄市,807高雄市三民區民本街25號,22.64020403,120.3421548,null,null,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>紅60B>步行>8048屏東轉運站>步行> AGA 技術潛水中心,墾丁、小琉球、綠島,https://www.facebook.com/agascubadiving/?locale=zh_TW,4.8,64,1.SDI 專業級潛水教練，認真、負責、親切的沒話說……讚啦！\n2.超棒的團體\n3.只能給五顆星喲,https://www.facebook.com/agascubadiving/reviews?locale=zh_TW,img/store_img/152.png
多樂潛水,Toro scuba,南部地區,高雄市,807高雄市三民區淵源街1號,22.63833753,120.3361147,null,null,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>捷運紅線>步行>60覺民幹線>步行>多樂潛水,墾丁、小琉球、綠島,https://www.facebook.com/ToroScuba/?locale=zh_TW,4.7,32,1.老闆推薦適合的產品，不只是最貴的進口貨\n2.售後服務很好，親自送修或協助保養維修\n3.教練認真重視學員，一對一教學，店狗超可愛,"https://www.google.com/search?q=%E5%A4%9A%E6%A8%82%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%A4%9A%E6%A8%82%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAEMgYIAhBFGDwyBggDEEUYPdIBBzIwMWowajSoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346e049444ad45c9:0x672ff1cac72ff174,1,,,,",img/store_img/153.jpg
萬德福潛水有限公司,wonderfuldiving,南部地區,高雄市,80054高雄市新興區中正三路5號10號樓之4,22.63058605,120.3109683,10:30,15:30,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>捷運紅線>步行>萬德福潛水有限公司,墾丁、小琉球、綠島,https://sites.google.com/view/wonderful-diving/%E9%97%9C%E6%96%BC%E8%90%AC%E5%BE%B7%E7%A6%8F/%E8%90%AC%E5%BE%B7%E7%A6%8F%E6%BD%9B%E6%B0%B4%E7%9A%84%E6%95%99%E8%82%B2%E7%90%86%E5%BF%B5,5,21,1.教練上課非常細心，關心學員的需求\n2.教學仔細易懂，讓學員有安全感\n3.教練們專業且照顧學員，讓學習愉快,"https://www.google.com/search?q=%E8%90%AC%E5%BE%B7%E7%A6%8F%E6%BD%9B%E6%B0%B4%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E8%90%AC%E5%BE%B7%E7%A6%8F%E6%BD%9B%E6%B0%B4%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiiBDIKCAIQABiiBBiJBTIHCAMQABiiBDIHCAQQABiiBNIBBzIzM2owajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346e052785873f25:0x1ffeeca47cae371f,1,,,,",img/store_img/154.jpg
日大潛水RIDA Diving,RIDA Diving,南部地區,高雄市,800高雄市新興區民生一路164號,22.62791934,120.3095693,13:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>捷運紅線>步行>日大潛水RIDA Diving,墾丁、小琉球、綠島,https://www.rida-shop.com.tw/blog/posts/%E9%97%9C%E6%96%BC%E6%97%A5%E5%A4%A7,5,1362,1.溫暖的潛水大家庭!!店員溫柔有耐心且專業的介紹裝備\n2.第一次學潛水，店員熱心提供意見\n3.服務親切，態度超好,"https://www.google.com/search?q=%E6%97%A5%E5%A4%A7%E6%BD%9B%E6%B0%B4RIDA+Diving&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%97%A5%E5%A4%A7%E6%BD%9B%E6%B0%B4RIDA+Diving&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg7MgkIAhAjGCcYigUyBggDEAAYHtIBBzIwMGowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346e040a68429509:0xdf405ad01284dcb3,1,,,,",img/store_img/155.png
Solidblue?藍潛水工作室,Solidblue,南部地區,高雄市,802高雄市苓雅區新光路62巷17號樓之一,22.61198159,120.3009903,08:00,23:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>捷運紅線>步行> Solidblue?藍潛水工作室,墾丁、小琉球、綠島,https://airmonkeyfly.wixsite.com/solidblue,5,8,1.小凱教練很嚴格，人很好\n2.一下子就合格拿到初級潛水證照了\n3.教學認真用心絕對不馬虎,https://www.facebook.com/solidbluedive/reviews,img/store_img/156.png
高雄自由潛水中心,kwf freediving,南部地區,高雄市,806高雄市前鎮區梧州街30巷21號,22.61442777,120.3163281,10:00,20:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>捷運紅線>步行>高雄自由潛水中心,墾丁、小琉球、綠島,https://www.facebook.com/KWF.Freediving/,5,116,1.服務態度好，服務人員親切\n2.教練們細心指導，讓人更了解自由潛水的樂趣\n3.店員服務親切，詳細解答問題,"https://www.google.com/search?q=%E9%AB%98%E9%9B%84%E8%87%AA%E7%94%B1%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E9%AB%98%E9%9B%84%E8%87%AA%E7%94%B1%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyBwgDEAAYgATSAQcxNjRqMGo0qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x346e0584f54e79e9:0x1123b916ba69397c,1,,,,",img/store_img/157.jpg
蓬萊潛水,FORMOSA DIVING,南部地區,高雄市,802高雄市高雄市苓雅區建國一路233號,22.63322415,120.3221532,11:30,21:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>捷運紅線>步行>88建國幹線>步行>蓬萊潛水,墾丁、小琉球、綠島,https://www.facebook.com/divingformosa/,3.9,8,1.有專業教練\n2.面鏡低價高賣\n3.不優,"https://www.google.com/search?q=%E8%93%AC%E8%90%8A%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E8%93%AC%E8%90%8A%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAE0gEHMTcxajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x346e04c074549b49:0xf69168401fe4993d,1,,,,",img/store_img/158.jpg
羅浮潛水中心,ROVER DIVING CENTER INTERNATIONAL,南部地區,高雄市,830高雄市鳳山區立志街152號,22.62268971,120.3563821,11:00,21:30,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>捷運紅線>捷運橘線>步行>羅浮潛水中心,墾丁、小琉球、綠島,https://www.facebook.com/roverdiving/?locale=zh_TW,3.6,5,1.見證臺灣潛水發展的ADS\n2.故事豐富有趣\n3.經驗豐富的教練,"https://www.google.com/search?q=%E9%AB%98%E9%9B%84%E7%BE%85%E6%B5%AE%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&sca_esv=555819424&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBg_eCSDcGqQBABpXQUxntIOhxTWEg%3A1691739257585&ei=eeTVZJi3I4q9wAOBzaKoDQ&ved=0ahUKEwjY14Dsi9SAAxWKHnAKHYGmCNUQ4dUDCA8&uact=5&oq=%E9%AB%98%E9%9B%84%E7%BE%85%E6%B5%AE%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&gs_lp=Egxnd3Mtd2l6LXNlcnAiGOmrmOmbhOe-hea1rua9m-awtOS4reW_gzICECZIrBNQAFj8D3AAeACQAQCYAZEBoAHEBaoBAzQuM7gBA8gBAPgBAcICBRAAGKIE4gMEGAAgQYgGAQ&sclient=gws-wiz-serp#lrd=0x346e1b4637b89197:0x3bd1ac5d3fa73639,1,,,,",img/store_img/159.jpg
innocean 在海裡潛水旅宿,innocean ,南部地區,屏東縣,929屏東縣東港鎮中山路6號4號,22.46588337,120.4522516,null,null,15:00,null,null,11:00,開車自行前往\n大眾運輸>高鐵左營站>9127D臺灣好行大鵬灣琉球線 >步行> innocean 在海裡潛水旅宿,墾丁、小琉球、綠島,https://www.facebook.com/InnOceanDiving/,5,152,1.人都很好，親切友善\n2.不得不敬佩一下脆脆教練的專業能力\n3.想考潛水證照的一定要來！！！,https://www.google.com/travel/search?q=InnOcean%20%E5%9C%A8%E6%B5%B7%E8%A3%A1%E6%BD%9B%E6%B0%B4%E6%97%85%E5%AE%BF%20Liuqiu%20Diving%20Hostel%20%EF%BD%9C%E5%B0%8F%E7%90%89%E7%90%83%E8%83%8C%E5%8C%85%E5%AE%A2%E6%88%BF&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440%2C72332589%2C72332591&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpGCigSJjIkMHgzNDcxZTU0OTdhMjIyNDlkOjB4OWRlZGQ0Y2EwZmY1MWFjEhoSFAoHCOcPEAoYHxIHCOcPEAsYARgBMgIQAA&qs=CAEyE0Nnb0lyS1A5aDhxcHQtOEpFQUU4AkIJCaxR_6BM3d4JQgkJrFH_oEzd3gk&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&ved=0CAAQ5JsGahcKEwj4rO78mNWAAxUAAAAAHQAAAAAQDA,img/store_img/160.png
山潛水工作室Sapai scuba diving studio,Sapai scuba diving studio,南部地區,屏東縣,945屏東縣牡丹鄉大梅路1-15號,22.10018513,120.7475009,09:00,17:30,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線 >步行>301A>步行>山潛水工作室Sapai scuba diving studio,後壁湖餵魚區、出水口、萬里桐,https://www.instagram.com/sapai.scuba.studio/,null,null,無,無,img/store_img/161.jpg
高峰潛水訓練中心,Summit Dive Center,南部地區,屏東縣,94450屏東縣車城鄉龍井路1-8號,22.05660312,120.7267811,07:00,22:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線 >步行>高峰潛水訓練中心,後壁湖餵魚區、出水口、萬里桐,https://www.facebook.com/SummitDiveCenter/,5,198,1.專業的教練們\n2.良好的住宿和餐飲\n3.有耐心且友善的服務,"https://www.google.com/search?q=%E9%AB%98%E5%B3%B0%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E9%AB%98%E5%B3%B0%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgATSAQcyNDdqMGo0qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3471b9af0d72f685:0x1ec225ffd84a8088,1,,,,",img/store_img/162.jpg
Freeisland 自由島嶼,Freeisland ,南部地區,屏東縣,944屏東縣車城鄉後灣路77之9號,22.04030989,120.6980411,00:00,23:59,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線 >步行>101D墾丁街車橘線>步行> Freeisland 自由島嶼,後壁湖餵魚區、出水口、萬里桐,https://www.facebook.com/freeisland1994/,5,219,1.島民們親切又活潑\n2.教練專業有耐心\n3.環境融洽快速融入大家庭,"https://www.google.com/search?q=Freeisland+%E8%87%AA%E7%94%B1%E5%B3%B6%E5%B6%BC&rlz=1C1CHBF_zh-TWTW901TW901&oq=Freeisland+%E8%87%AA%E7%94%B1%E5%B3%B6%E5%B6%BC&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABNIBBzIyOWowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3471b93b829c4957:0xb7b2c703bbab8814,1,,,,",img/store_img/163.jpg
樂芙海洋,Love Ocean,南部地區,屏東縣,944013屏東縣車城鄉後灣路181-1號,22.03856075,120.6944154,00:00,23:59,15:00,null,null,11:00,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線 >步行>101D墾丁街車橘線>步行>樂芙海洋,後壁湖餵魚區、出水口、萬里桐,https://www.facebook.com/people/%E6%A8%82%E8%8A%99%E6%B5%B7%E6%B4%8BLove-Ocean/100076111880863/,5,26,1.老闆娘無私地幫助我抵達目的地\n2.老闆和助教都很親切，讓學習潛水變得更加輕鬆\n3.謝謝您伸出援手，我們才有機會看到如此夢幻絕美的風情,"https://www.google.com/search?q=%E6%A8%82%E8%8A%99%E6%B5%B7%E6%B4%8B&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%A8%82%E8%8A%99%E6%B5%B7%E6%B4%8B&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyBwgDEAAYgAQyBwgEEAAYgATSAQcxMjdqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3471b9d3aff79eb5:0xc5879f814d1dd41c,1,,,,",img/store_img/164.jpg
O.H海歸潛水,ocean hedonic,南部地區,屏東縣,946屏東縣恆春鎮仁壽路141-15號,22.02591632,120.7372004,08:00,18:00,15:00,null,null,11:00,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線 >1773屏東轉運站>步行> O.H海歸潛水,後壁湖餵魚區、出水口、萬里桐,https://oceanhedonic.wixsite.com/oh2019/blank-1,5,31,1.對學員的照顧貼心專業又嚴謹！\n2.教練會深入淺出的教導需要具備的知識跟技巧\n3.學自由潛水一定要來這裡,"https://www.google.com/search?q=O.H%E6%B5%B7%E6%AD%B8%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=O.H%E6%B5%B7%E6%AD%B8%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBBzE4N2owajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3471b7b2152c499f:0x70e46702bfbd1d29,1,,,,",img/store_img/165.jpg
墾丁GO Diving趣潛水&寧靜的家3館,GO Diving,南部地區,屏東縣,946屏東縣恆春鎮大埔路16-50號,22.01903734,120.7384539,08:00,22:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線 >101D墾丁街車橘線>步行>墾丁GO Diving趣潛水&寧靜的家3館,後壁湖餵魚區、山海、萬里桐,https://www.facebook.com/godivingpower/?locale=zh_TW,5,1,無,"https://www.google.com/search?q=%E5%A2%BE%E4%B8%81GO+Diving%E8%B6%A3%E6%BD%9B%E6%B0%B4%26%E5%AF%A7%E9%9D%9C%E7%9A%84%E5%AE%B63%E9%A4%A8&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%A2%BE%E4%B8%81GO+Diving%E8%B6%A3%E6%BD%9B%E6%B0%B4%26%E5%AF%A7%E9%9D%9C%E7%9A%84%E5%AE%B63%E9%A4%A8&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiiBDIHCAIQABiiBDIHCAMQABiiBDIHCAQQABiiBDIHCAUQABiiBNIBBzQ2NmowajSoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3471b9d5b49bf453:0xffdbd02cbdc54d36,1,,,,",img/store_img/166.jpg
Tec Only Kenting Diving Center,Tec Only Kenting Diving Center,南部地區,屏東縣,946屏東縣恆春鎮興北路中興巷72號,22.00912078,120.7258452,08:00,20:00,15:00,null,null,11:00,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線 >201墾丁街車黃線>步行> Tec Only Kenting Diving Center,後壁湖餵魚區、山海、萬里桐,https://www.facebook.com/TecOnlyKenting/,5,12,1.低調但優質的潛水店\n2.環境好 教練專業 貓咪超可愛\n3.裝備很新，店貓可愛,"https://www.google.com/search?q=Tec+Only+Kenting+Diving+Center&rlz=1C1CHBF_zh-TWTW901TW901&oq=Tec+Only+Kenting+Diving+Center&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiiBDIHCAIQABiiBDIHCAMQABiiBNIBCDE0NTdqMGo0qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3471b1ac61757f11:0x8e2066b0836e7cd8,1,,,,",img/store_img/167.png
墾丁自由潛水 Freedive Kenting, Freedive Kenting,南部地區,屏東縣,946屏東縣恆春鎮德和路160巷1弄19號,21.99788808,120.7276139,null,null,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線 >步行>墾丁自由潛水 Freedive Kenting,後壁湖餵魚區、山海、萬里桐,https://www.instagram.com/freedivekenting/,4.5,4,1.教練嚴謹、認真負責又有耐心的教學態度\n2.教練注重學員的安全問題並鼓勵增強自信心\n3.海訓注重安全且照顧周到,"https://www.google.com/search?q=%E5%A2%BE%E4%B8%81%E8%87%AA%E7%94%B1%E6%BD%9B%E6%B0%B4+Freedive+Kenting&sca_esv=555979541&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBg7Jrj-xELo5EF2rTZz_kjVPjbftQ%3A1691779505138&ei=sYHWZP-FCI3Y1e8PmKyc0Ak&ved=0ahUKEwi_osTjodWAAxUNbPUHHRgWB5oQ4dUDCA8&uact=5&oq=%E5%A2%BE%E4%B8%81%E8%87%AA%E7%94%B1%E6%BD%9B%E6%B0%B4+Freedive+Kenting&gs_lp=Egxnd3Mtd2l6LXNlcnAiI-WivuS4geiHqueUsea9m-awtCBGcmVlZGl2ZSBLZW50aW5nMgUQABiiBDIFEAAYogQyBRAAGKIEMgUQABiiBEjVCVD6B1j6B3ABeACQAQCYAWSgAWSqAQMwLjG4AQPIAQD4AQH4AQKoAgrCAgcQIxjqAhgn4gMEGAAgQYgGAQ&sclient=gws-wiz-serp#lrd=0x3471b1278aa98f43:0x9b79cda61d80ac0c,1,,,,",img/store_img/168.jpg
海水正藍Ocean Blueming,Ocean Blueming,南部地區,屏東縣,946屏東縣恆春鎮草埔路57巷５之１號,22.01004812,120.7351981,00:00,23:59,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線 >步行>海水正藍Ocean Blueming,後壁湖餵魚區、山海、萬里桐,https://www.facebook.com/OceanBlueming/,5,22,"1.專業的潛水攝影教學\n2.不管是微距課程, 水下練習 或是住宿都很棒~\n3.nick教練教導細心，有問題都會耐心回覆，每回都會有收獲！","https://www.google.com/search?q=%E6%B5%B7%E6%B0%B4%E6%AD%A3%E8%97%8DOcean+Blueming%E5%B1%8F%E6%9D%B1&sca_esv=555979541&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBjIdER_kGr6L2GFEOECA7NUJyNbFg%3A1691779714738&ei=goLWZMDULK3O1e8Pw7yk0A0&ved=0ahUKEwjAnb3HotWAAxUtZ_UHHUMeCdoQ4dUDCA8&uact=5&oq=%E6%B5%B7%E6%B0%B4%E6%AD%A3%E8%97%8DOcean+Blueming%E5%B1%8F%E6%9D%B1&gs_lp=Egxnd3Mtd2l6LXNlcnAiIOa1t-awtOato-iXjU9jZWFuIEJsdWVtaW5n5bGP5p2xMgUQABiiBDIFEAAYogQyBRAAGKIEMgUQABiiBEiwXVCYC1iVW3AMeACQAQCYAZ4BoAHPD6oBBDEzLje4AQPIAQD4AQHCAggQABiiBBiwA8ICBxAjGLACGCfCAgkQIRigARgKGCrCAgcQIRigARgKwgIEECMYJ8ICBRAhGKAB4gMEGAEgQYgGAZAGBQ&sclient=gws-wiz-serp#lrd=0x3471b1d492418c19:0xeaeb3ad209533f35,1,,,,",img/store_img/169.jpg
酷達潛水中心 Kuta Dive, Kuta Dive,南部地區,屏東縣,946屏東縣恆春鎮恆公路965號,22.00866184,120.7403649,08:00,22:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線 >步行>酷達潛水中心Kuta Dive,後壁湖餵魚區、山海、萬里桐,http://www.kutadive.com.tw/index.php/about/156-about-us-2,5,36,1.教練專業且有耐心\n2.設備齊全，包括淺水池和3米池\n3.舒適環境和美味料理,"https://www.google.com/search?q=%E9%85%B7%E9%81%94%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83+Kuta+Dive&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E9%85%B7%E9%81%94%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83+Kuta+Dive&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABNIBBzI3OWowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x3471b1136f6dbfad:0xcdb9db7081ae3420,1,,,,",img/store_img/170.png
有潛生活潛水訓練中心,Cheers To Dive,南部地區,屏東縣,946屏東縣恆春鎮恆公路1012巷二弄1號,22.00988024,120.7425523,08:00,20:00,15:00,null,null,11:00,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線 >步行>有潛生活潛水訓練中心,後壁湖餵魚區、山海、萬里桐,https://cheerstodive.com/%e9%97%9c%e6%96%bc%e6%9c%89%e6%bd%9b%e7%94%9f%e6%b4%bb/,4.9,46,1.教練小翔人超專業、超帥、超有耐心\n2.闆娘珊珊超活潑、超健談、超可愛\n3.烤香腸超好吃,"https://www.google.com/search?q=%E6%9C%89%E6%BD%9B%E7%94%9F%E6%B4%BB+%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83%E5%B1%8F%E6%9D%B1&sca_esv=555979541&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBjORxzSMP332g7RAd2-NRlyhgE6Ww%3A1691780806339&ei=xobWZJamFO3m1e8PoaS64A8&ved=0ahUKEwiWof_PptWAAxVtc_UHHSGSDvwQ4dUDCA8&uact=5&oq=%E6%9C%89%E6%BD%9B%E7%94%9F%E6%B4%BB+%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83%E5%B1%8F%E6%9D%B1&gs_lp=Egxnd3Mtd2l6LXNlcnAiJeaciea9m-eUn-a0uyDmvZvmsLToqJPnt7TkuK3lv4PlsY_mnbEyBRAAGKIEMgUQABiiBDIFEAAYogRI4itQwApYkylwAXgAkAEAmAFqoAG-BaoBAzYuMrgBA8gBAPgBAcICCBAAGIAEGLADwgIIEAAYiQUYogTCAgUQIRigAeIDBBgBIEGIBgGQBgI&sclient=gws-wiz-serp#lrd=0x3471b16def8cc57d:0x21cf900223316535,1,,,,",img/store_img/171.jpg
墾丁海世界潛水 OceanWorld Diving Center,OceanWorld Diving Center,南部地區,屏東縣,94645屏東縣恆春鎮省北路1巷3弄26號,22.00989268,120.7425644,09:00,18:00,null,null,null,null,開車自行前往\n大眾運輸>高鐵左營站>9189臺灣好行墾丁快線 >步行>719水泉線小黃公車>步行>墾丁海世界潛水 OceanWorld Diving Center,後壁湖餵魚區、山海、萬里桐,https://www.facebook.com/people/%E5%A2%BE%E4%B8%81%E6%B5%B7%E4%B8%96%E7%95%8C%E6%BD%9B%E6%B0%B4/100063831526554/,5,132,1.專業教導及耐心照顧\n2.美味的早餐和餐盒\n3.安全感的陪伴和細心教學,"https://www.google.com/search?q=%E5%A2%BE%E4%B8%81%E6%B5%B7%E4%B8%96%E7%95%8C%E6%BD%9B%E6%B0%B4+OceanWorld+Diving+Center&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%A2%BE%E4%B8%81%E6%B5%B7%E4%B8%96%E7%95%8C%E6%BD%9B%E6%B0%B4+OceanWorld+Diving+Center&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDEzMzBqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3471b042d24ddd41:0xdc1ff04fa3c45b3b,1,,,,",img/store_img/172.jpg
